Correct, Wrong
pnslwanya, pnslwmanya	pnslwaqnya	pnslwaknya	pnlwanya
harhyan, harhman	harhyen	hxarhyan	harzhyan	harhytn	harhyapn	harhyjan
sosa, sposa	szsa	ososa	soga
noir, nair	noiar	noar	noic	noira	nqoir
xavier, xnvier	xavxer	uxavier	xevier	xavwier	xsavier	xoavier	xavcer	xaqier
fireballs, firebaolls	firebaals	firebualls	fgreballs	firemalls	firebanlls	fiseballs	firebnalls	fxireballs	firebaqls
chonkanay, chonkantay	chonkanway	chonkabnay	chmonkanay	chockanay	chankanay	cshonkanay
zindr, zindxr	zindb	zindur	zindl	zinkr	zinvdr	zindru
henderson, hrnderson
arnot, arnlot	arnopt	arnoe	abrnot	arnots
playtus, playtuw
kezmin, kezmiln	kezgmin
kamana, kamanha	kahmana	kdamana
token, tokxn	oken	toen	tfken	doken	tokeb	tokuen	toben
split, rplit	spflit
joel, joeo	joelq	jolel
describe, descryibe	deseribe	describxe	deslribe
stores, stotres	shores	storhs	mtores
technique, tecmhnique	tpchnique	techniqaue	techbnique	techniqoe	tecxhnique	techsnique	techqnique	tpechnique	techniquei
kanon, kacnon	kakon
kaamo, kraamo	iaamo	knamo
sakon, jakon	sakong	yakon
angeles, angelfes
sons, wsons	scns	sbns	yons	hsons	sois	bons	sonm	sonse	sous
shrif, shcrif	shroif	ihrif	shrifq	xhrif	mhrif	fhrif	shpif
taxes, taxez	ptaxes	taxesr
accent, actent	acceot	accelnt	acceznt	aqcent	accenu	accert
topics, tojics	tnpics	topids	topichs	topscs	tbpics	tspics
bjay, bjah	blay	bojay	bxay	kjay	bjav	bjacy	bjayz	bjary
maflooj, mafalooj	uaflooj	zmaflooj	mafwlooj	mafllooj	pmaflooj	maflfooj	muflooj	baflooj
tanawal, tanlawal	tanafal	xtanawal	tanayal	tanawail	tfanawal	tanaway	tmanawal	tkanawal
krien, ktien	kriet	kurien	krieqn	kmrien	zkrien	krimen	urien	kfrien	krihen
krwata, xkrwata	krwatma	krwadta	krwatq	krmata	krwatn	jrwata
batne, baetne	baftne
abroad, bbroad	abrgoad	xabroad	abryad	avroad	abrowd	abroadw	jbroad	abrokd	abrlad
fham, fiham	fhqam	fhac	fcam	fhamo
sikhte, sikhwe	sikhvte	sikhtse	sikhtev	sikvte	eikhte	sgikhte	sigkhte	sikhgte
sakuu, sakuus	sakruu	dakuu	wakuu	sagkuu	bsakuu
waiz, waliz
thaamay, thkamay	tehaamay	tuaamay	tcaamay	tahaamay	thaamayh	khaamay	thaamsy
mnh, nmh	mnu
atim, ctim	zatim	atqim	aqim	atcm	atqm	atfim	ktim
bent, benl	bentf	bfent	bedt	bexnt	betn	sbent	bdent
injunction, injuknction
krri, kxrri	krzri	prri	korri	krru	krrib	kerri	krrik	hkrri
ekbar, ekebar	rkbar
timepass, timeipass	tdimepass	timlepass	timcpass
handles, handeles	fhandles	hanxdles	handlges	harndles	handnles
upbringing, upbringinhg	upbringingb
egi, egie	eyi	exi	egsi	ergi	egci
krao, kraou	kbao	frao	kfrao	krzao	kwrao	koao	kprao	krzo
yaro, yairo
unch, unkh	wunch	unwch	tunch	unpch	rnch
selective, seleytive
bebasi, bjbasi	bebaswi	bebahi	belbasi	bebmsi	buebasi	bewbasi	biebasi	bebaasi
hakton, haktton	hakbton	hahkton	haktxon
raid, ryid	traid	raoid	ratid	raidv	rlid	rtid	raiq	raidy
bhaichara, bhaicharu	bhaicfara	boaichara	dhaichara	bhaichazra	bhaichaia	bhaicharx	bhaichlara	bhaicwhara
ndore, ndors	ndoro	ndorje	ndorej	ndodre	ndorep	nudore
dehk, dehkp
biscuit, biqscuit	biscpit	biscxuit	btscuit	bisecuit	biscuic	biscquit	biscuist	bniscuit
ahey, aheqy	ahrey	apey
chatte, vchatte	cihatte	chaitte	chatoe	chaate	chakte	chattl	cuhatte	chattk	choatte
concrete, csncrete	toncrete
andheri, gandheri	sndheri	andferi	anodheri
murdered, musdered
insh, inoh	ensh	innh	inswh	winsh	insb	inshe	inshk
lha, lza	ylha	lhe	lht
jeetain, jeketain	jeytain	jeetafn	jeetaiu	jeetsain	jeektain	jeetaib	jeetoain
homem, vhomem	homefm	hsomem	homemz	hovmem	hhomem	homlm	hzmem	homev	hpomem
pataal, patxaal	pataxal	pagtaal	pataasl	jataal	pvtaal	pataawl	pjtaal	ptaal
wong, wyng	wozng	woug	wovng	wodg	wongx	wokg	wonz	cwong	ewong
ihayat, ihaaat	ihayst	bihayat	ihayqat	hiayat	ihayalt
sopa, soapa	sopam	sopan
unaon, unmaon	junaon	znaon	unron	unaoni
ppolice, ppolices	ppolicfe	ppolicje	ppolibe	ppjolice	ppoltice	plpolice	ppolicre
tatay, xatay	tataky	tataw	tatan	tktay	tatvay	twtay	tattay
dhaknay, dhjaknay	dhainay	dhaknaf	diaknay	dhtaknay	dhakbay
gajra, rajra	gajrra	gajqa
batal, batgl	xatal	batalh	batil	batalb	batahl	batsal	ratal	blatal
rahulkanwal, rahuxkanwal	vahulkanwal	rahulkanwwal
jheenga, jheena	jheengn	jheengza	jheesga	jeheenga
bootion, bowotion	booion	vootion	boiotion	bootqion	bootibn	bootihn	bootiou	bootioi	bootdion
manazra, manahra	maxnazra	manazrk	manazrx
shaksana, shakmana
chhyasi, chhymsi	chhgyasi	cjhhyasi
dahinda, diahinda	danhinda	dahindas	dahindpa	dahinjda	dxahinda
azber, wzber	azter	azher	azeber	tazber	azbewr	aiber	azzer
freddie, freaddie	afreddie	freddife
danteela, dantehela	dantreela	tanteela	danteels	dnanteela	panteela	danteelsa	dcnteela	danteeza	rdanteela
beros, beroy	berosj	bebos	weros	breros	berods	teros	beors	mberos
simmons, simmonsk	simamons
moordin, wmoordin	moorddin
brontes, brontems	brmontes	brontqs	brovntes
karati, karatci	karoti	kyrati	iarati	kbrati	karzti	karbti
nia, ngia	xia	nig
nawan, nawnan	nrawan	nakwan	nawanq	nwan	nawsn	nawwan	nawanh	nowan	nawanv
palti, panlti	calti	pvalti	pealti	palnti	hpalti
aekar, sekar	aekaf	tekar	gekar	aekqr	aekr
taj, tnaj	tbaj	tajf	tajx	tmaj	tajz	tajv
muqabil, muqalbil	muqabijl	muqagil
rainbow, rainbowh	rainbpow	rainkow	rnainbow	rainbpw	rainbfow
john, eohn	jodn	johtn	lohn	jpohn	johqn	joqn	jocn	johv
lannat, lannadt	lannnt	lanant	langnat
ksy, ksl	kny	khsy	ksyx	dsy	kgsy	kwsy
commerce, coommerce	commerdce	cbmmerce	commrerce	commwerce	commercge	cmommerce	commerie
seekhi, seekvi	seekhdi	seekgi	seekhil	seekhri	seekbi	dseekhi	seekai	seyekhi	seekohi
khena, kbena	khenas	okhena	kmhena	kheqa	skhena
himalaya, himalayma	hirmalaya
suits, suitis	sbuits	suitst	scuits	esuits
naha, nahac	niaha	nahd	nfaha	naba
wjha, wmjha	qwjha	xjha
mamly, mxmly	mayly	mamlyb
quit, qkit	quita	quir	qucit	qudit	quidt	qiit	quif	qfuit	quitd
chini, ckhini	chani	cpini	chinii	chyni	cghini
jabhi, jabhwi	jabxi	jabhip	jahbi	jhabhi	jabzhi	pjabhi	jsabhi	jabhe	jathi
quiet, wuiet	quietv	qujiet	quietq
expensive, expensivke
uffff, ufbfff
fm, ufm	fcm	afm
ayed, myed
mairaaj, maivaaj	maiwaaj
hashrat, hasyrat	hushrat	lashrat	haoshrat	hjshrat
sjday, ejday
vejo, vezjo	cvejo	vezo
isilye, isipye	ihilye	isiljye	isilee	isilyo	isvilye	csilye	asilye	isilyy
ournalism, murnalism	ourznalism	ouroalism	ournatlism	ournalusm	ournalwism
bnega, bnegua	onega	bnfega	bnxga
nikalenge, nikaljnge	nikalengc	nikqalenge	nmikalenge	nikalenjge	nikalejge
hilata, hbilata	hilatu	hdilata	hilatq	hiblata	hiclata
creating, reating	credting	creatidg	cremating	crteating	crxeating	creatingl	creatieg	creatimng
syd, ksyd	sjyd	sydh	sryd	syh	sxd	sygd	smyd	syxd
bhonkte, bhornkte	bhonfte	whonkte	bhonktpe	bhokkte	bhonktee	bhbnkte	bhontte	honkte
knee, kneey
rathee, rathex	ratheme	rathqee	rcthee	rrathee	rmathee
oung, oiung	ouni	oungr	ogng	oulng	oufng	ouhng
ahoot, ahovt	ahoobt	ahoaot
nirman, nirmyan	mirman	niqman	nwirman
bharosha, bharosla	bharoshra	bxharosha	blarosha	bhkarosha	brharosha	bharjosha	bharlsha
maangi, maangt	maanngi	mauangi	maarngi	zaangi
paayega, paazega
jarha, bjarha	jarhu	jarhaz	jaruha	jzarha	harha
nude, nuje	nudex	nuxde	nudse
invitation, insvitation	invitatinn	invitatikn	invitatiox	invitationb
itizenship, ktizenship	itnizenship	itizesnship	itiznship	imizenship
trains, truains	traiks	traids	utrains	traiws	traings	traixns	trais	trxains	irains
majdoor, mdajdoor	majjoor	myjdoor	majdookr	majdxor	majdoov
hankna, hmnkna	haikna	haonkna	hiankna	harkna
ric, rac	rric	rsic	rcic	rdc	rnc	ricx
ampaign, wampaign	aopaign	ampaignb	ampagin
clad, cldad	clar	clado
areekh, areekg	aeeekh	areekhl	bareekh	areekmh	apeekh
pon, mpon	poi	poa	pwn	ponh
ambil, amxil	azbil	ambibl	imbil	ambilg	amrbil	ahbil
gahkon, gahkor	oahkon	mahkon	gahykon	qgahkon	gahkonl	nahkon
satattar, satamttar	osatattar	statattar	satasttar	saetattar	satyttar	satantar	xsatattar	satatter
degil, djegil	dzegil	degnl
naffa, nlffa	naffra	nagfa	anffa	naffh	naffca
shoora, shroora	seoora	shoqora	shoorn	sahoora	tshoora
kitaron, qkitaron	kitaruon	kitarono	witaron	kitaronz	kitaroe	ritaron	kitqaron	ckitaron	kintaron
unaasi, unaasr	unahsi	unaasa	unahasi	ufaasi	unayasi	fnaasi	unaami	lnaasi	unaaqi
jrmnon, jrmknon	jrmnno	jrsmnon
takyaa, takryaa	takyaba
danishwarana, uanishwarana	dapishwarana	danishwaraca
severus, severwus	reverus	sevequs	sevmerus	severuxs	sxeverus	lseverus
phandros, phandrwos	phhndros	phpandros	phamdros	phhandros	phandrou
farooq, narooq	faerooq	zfarooq	farbooq
parhny, mparhny	parhzy	pabhny	parhnyj	parmny	psrhny	parhnyt	parhdy	narhny
shuruwat, shuruwiat	shuruwau	shucuwat	shuruyat
shahi, shahib	shahih	snhahi	shahq	gshahi	mhahi	shtahi
bataun, batpun	wataun	batausn	baktaun	btaun	bartaun	bbtaun	batpaun	gataun	btataun
ehl, lhl	ehdl	ehlh	pehl
filmy, vilmy	wfilmy	fnilmy	falmy	filfy	fwlmy	frlmy	fivlmy	ofilmy
pohancha, pohancvha	pohanchwa	poheancha	pohanchd	pohacnha	pohanctha	pohanclha
ajana, ajanb	azana	tjana
somebody, someboday	sobmebody	somebodo	somehbody	somnebody
rakna, rdakna
rabb, rabgb	rasbb	krabb	rbab	rabbh	rabf
kano, oano	bkano	kaon	kanom
prazm, pbrazm	prxzm	prazma	rpazm	prazsm	prazkm	pramz	kprazm	piazm	prkazm
sidd, qsidd	sidq	scidd	hsidd	sqidd	swidd	shdd	sijd	sidud
ilhaaq, ilhaan	ilhqaq	ilhanaq	milhaaq	ilhaiq	ilhaaiq	ildaaq	ilvaaq
leaf, leasf	loaf	leafw	lsaf	letaf	lbeaf
hirasati, hirasxti	hirasatiu
koyn, nkoyn	zoyn	koywn	kowyn	koyy	koybn	koydn	koyz
jibillat, jimillat
rrr, rxrr	krrr	rri	rrx	rhrr	brr	rgr	rrre
ooth, oothq	koth	ootqh	omoth
apana, zpana	apgna	apabna	avpana	apxana	rpana	apanag	apnna	apvna
jawo, jvwo	jlwo	jawho
vh, ovh	fh	vhb	vch
bhu, wbhu
ignored, igwnored	ignoved	lignored	ignojred	ignorued
patte, iatte	patee	pztte	pattbe	pamte	pkatte	patzte	pactte	papte
auraton, aurauton
huth, hutk	hutfh	hueth	hgth	vhuth
esme, esmt	ecsme	ejme	etme	esmr	eume	espme
bharna, bwharna	bparna	bhlrna	bkharna	bhamrna	bharnag	bharan	bearna	bharsna
girane, girance	virane	gfirane	girave	girjne	giranhe	giraned	tgirane	giraneg
ehr, eor	euhr	ehrq	ehdr	ehur	ehy	nehr	ehg	emr
jruri, jrupi
secure, secture	secire	svecure	securqe	secube
banoge, baxoge	banogen	banogs	banpoge	bahnoge	baknoge	bagoge	bawnoge	banoae
ndha, nuha	zndha	ndhxa	zdha	ndhn	ndcha	ngha	ndbha
rato, ratoj	nato	dato	rago	rcato	arato	ratr	rati
hivika, yivika	hgivika	hvika	hivuka	hivikb	ghivika	hivoika
phira, phiraz
etwork, etwdork	etworsk
ulana, ulane	ukana	ulann	ulanh	nulana	ulaba	ulina	ulgna
bangs, baegs	bhangs	banls	bangu	vangs	baogs	pangs	bangsx	bpangs	bangsn
bikharna, bixharna	bikharnk	bbkharna
horon, haoron	holon
hamsafar, hamzsafar	hzamsafar	hxamsafar	hamsafari	hamsaifar	hamsafalr
genre, genri	tgenre	enre
huch, ohuch
paso, jpaso	pasoq	uaso
parar, parahr	paramr
seorang, seorkang	meorang	sbeorang	jseorang	seorahng	smeorang	soerang	seolang	seowrang
dieta, mdieta	dietq	uieta	adieta	diehta
sinto, sioto	siuto	sfnto	sjnto	osinto	sibto	spnto
maqtool, maqeool	mqqtool	maqtocol	maqdool	caqtool
parwahi, parwahbi	pavrwahi	parwashi	parwahti	parwahji	parwhahi
musawari, musiwari	musawaria	mugsawari	musawarn
arsath, zarsath	ahrsath
byasi, byagsi	byjsi	byasoi	zyasi	lyasi	bynasi	bjyasi	bnyasi
adrian, adfrian	adurian	adriazn	ydrian	adroian	adruan
uratye, ruratye	uratyhe	yratye	urdtye	urabtye
jaquan, jjaquan	jaqurn	jvquan
pultrie, pulttie	pultcie	puttrie	phultrie	pultriei	pultribe	pultriej	pulhrie	puntrie
loha, liha	lohua	loqha	lnha	lohqa	loho
fielding, fizlding
brdasht, brdashtx	brdashkt
longer, lenger	longuer	lonzer	longecr	longaer	lotnger	lunger	longewr	olonger	lfonger
chemical, chemicvl	zhemical	chgmical	chemicald	chemijal	chegical	chemicala	chemicax	chemicel	cheqical
nishtar, nishtfar	nigshtar	nishatar	nishkar	enishtar	nishttar	nishtsar	nishrar
mureed, lmureed	dmureed	muretd	mmreed	umureed	xmureed	murneed
sedha, sedma	sedxa	sedhq	seoha	seyha	seeha
magfirat, miagfirat	mugfirat	magfiroat	maggirat	mapfirat	magkirat	maguirat	magfirgt	magfirst
kite, kitle	eite
rid, rii	erid	xid	rvd	rifd	drid	rbd	rijd	cid
jooti, jfooti	jootdi	yjooti	kooti	jbooti	jootyi	jcooti
zaalim, kaalim	zaavlim	zaalilm
brabr, braqbr	brabhr	bdrabr	jrabr	brabrq	bjabr	brvbr	brabz	byrabr	nrabr
shery, ssery	shsry
hirs, hsirs	khirs	hilrs	hirfs	hirz	hbrs	hirw
profayl, prodayl	profanl
laraz, alraz	laral	liaraz	lagaz
gayo, gamyo	gayou
geeta, xeeta
bhulna, bhulnat	bfhulna	bhulan	bhuxlna	bhumlna	bhuhlna	nhulna	bhulnag	bhulnab	vhulna
daat, duat	dait	daatw	dyat	dakt	daatl	daayt
onam, ovnam	oyam
haap, hajp
nikalega, nikaleiga	uikalega	nidkalega	nikalmega
todi, todic
mahadev, mahafdev	mahadevr	mahadeqv	mshadev	mehadev	yahadev	mqahadev	jahadev
shaanti, shaantid	shqaanti	shamanti	shaaeti	shaaoti	sahaanti	shjaanti	shaganti	sthaanti	ssaanti
ewakoof, dwakoof	ewakotof	ewakjof	ewalkoof	ewakooof	ewakoot	weakoof	evwakoof
bigaad, bigxad	hbigaad	boigaad	bmgaad	bigaas	bigaadu	bigvad	ybigaad
haisab, haislab	hawisab	nhaisab	hajisab	hahsab
opulation, opkulation	ocpulation	opulatimn	opulqation	oupulation	opulatipon	opulaetion
realme, rfealme	reavme	reslme	realmue	arealme	irealme	reualme	realqe
adarsh, asdarsh	adaorsh	cdarsh
adhurima, adhdrima	adhurimas
showus, sohowus	showusu	shofus	showhus	shorwus	shoaus	showusi	shotus	sihowus	shhowus
oja, ojra	ojt	ojd
cmg, ccmg	pcmg	cmu
hocolate, hocolatie	hocelate	hocolbate	hocoljate	hocolatex	hocolote	hocolaae	hocylate	hocolgte
aber, abefr	afber	pber	abeb	aberu	abert	abaer	ahber	axer
chandan, chanwan
arney, arneby	arneqy	arngy	orney
lmost, lmosn	lpmost	emost	lmyost	lmosr	lvost	imost	lmfost
talve, tolve	talae	talwve
ause, ausp	ausn
waaah, wahah	wiaaah	wtaah	naaah	waeaah	waach	vaaah	waauah
nmol, nmvl	mnmol	ntmol	nmjol
eard, eavd	eaird
thukra, thurra	tiukra	ohukra	thukrr	thukri	pthukra	thukxra	thlukra
tulna, tusna	tulhna	tpulna	dulna	tuplna	tdulna	ftulna	ktulna	tulnw	tulny
hahy, hghy	hahk	hanhy	hahp	phahy	shahy	heahy	haahy	hahfy
aftaari, aftaazri	afltaari
waram, wanram
anywhere, anywherex	anywherem	agywhere	anywhebre	anyzwhere	wanywhere	anywheqre	anywhiere	anyfhere
naked, naket	nsaked	niaked	nakned	nakeb	neked
alima, alidma	ahlima
oren, orken
apad, napad	gpad	aapd	fapad	tapad	zpad
unu, rnu	dunu	unuc
jhuknay, gjhuknay	jhuknav	jmhuknay	jtuknay	ghuknay	jhknay	johuknay	jhuknmay	jhukxay
kenal, kenbl	nenal	keqal	kinal	kenll	kenah	kvenal	kernal	kenel	lkenal
bingung, bicngung	bingsung	binfgung	bingungp	bingfung	bingulng	bingutg	binghng
keras, weras	kqeras
listrik, listroik	listrcik	ulistrik	lvstrik	listrin	lxistrik	ristrik	lisyrik	listrtik
destro, depstro	zestro	desro	destrv	destgo
mrk, fmrk
utun, uutn	stun	utunj	utuxn	utunq	uuun	utunp	uutun	utlun
enyangka, enylngka
jonny, jonns	jyonny
naweesi, naweeysi	niweesi	naweesc	nawaeesi	naweesf	naweqsi	nyaweesi	naweeti	vnaweesi	nawdesi
bariat, bariax	baricat	bajiat	sbariat
qamti, qvamti	qaqmti	qavmti
sozinha, solinha
jaden, jadeno
buckingham, buckinghams	buckinghax	zbuckingham	bnuckingham	buckhngham	bucqkingham
balthusa, baxlthusa	balthuss	dalthusa	kalthusa	balthuta
letorque, letorqyue	letorique	leteorque	letoruue
zaib, zaibn	zaixb	zsib	zmib	zaibp	faib	zaivb	zajib
frmay, frpmay	frmnay	fmmay	frmjay	frgay	frmafy	ifrmay
parhaya, parhayja	pdarhaya	parhayar	paryaya	poarhaya	paghaya	parhayqa	parhayka
kafeel, kaeeel	gafeel	kafceel	kafzeel	kaieel	kafeehl	kareel	kafeet
clinic, clinigc	rlinic	climnic	clknic	clhinic	cliknic	lcinic	cwlinic	clinics	clfnic
majbor, majnbor	lajbor	ajbor	majrbor	majbmor	mijbor	majbcr
mizaj, myizaj	mizaqj	mizapj	fizaj	mizacj	mizrj	miza	mmizaj
agents, nagents	agrnts	agfents	agenps	abgents	aoents	agenbts	agenhts
czn, cezn	czns	cin	cvzn	wczn	cznt	czxn	rzn	sczn	xzn
seller, sepller	sellet	selleor	selldr	sellzer	mseller	sellekr	selger	zeller
performances, performuances	pyerformances	peryformances	performancres	peoformances	perforlances	performannes	perfokmances	performanrces	perfolrmances
ahha, ahhak	ahhfa	aqhha	ahsa	ahhda	yhha	abhha	xhha
vy, vyx	zvy	vjy	vpy	pvy
wk, wtk	wkg
kutay, kuay	kutaky	kutaqy	kutany	kutag	kuetay	kuvay	kutxay	kmtay	kubay
kaafir, kaaefir	kqaafir	aafir	kafafir	kaafira	mkaafir	kaafxir	kaafirr
salle, salvle
asr, asrt	asrf
urra, urrj	nrra	uira	uera	urry
okyo, ookyo	kkyo	okyoa
azmaane, azmaank	azmaeane	azmaanse	azmoane	awmaane
stor, stjr	sthr	storn	stoor	stgor	stzor
hitting, hittitng	hihtting	hittinzg	hittaing	hittingh	hittjng
redar, reddar
aadaat, xaadaat	aaddat	saadaat
wave, wavj	wavwe	wavl	wavef	wavye	wavte	wdve	wavfe
baratnay, baratnar	gbaratnay	baqatnay	bpratnay	cbaratnay	bmratnay	baratnaj
roki, roeki
legs, vlegs	lers	fegs	megs	tegs	lsegs	lzgs	loegs
motocycle, mstocycle
compared, kompared	comparesd	coypared	cqmpared	comparvd	cocpared	comparmed
koro, knro	kloro	toro	kyro
imagination, imaginatjon	inmagination	imaginatioy	imaginatioen	zmagination	imaginatioi	rimagination
logoko, logoco	logxoko
riple, riplc
ucho, hcho	umcho	uzho	ucjo	uchor	ucyo	uchd
haqq, haaqq	hapq	hanq	hgaqq	hazqq	haqnq	uhaqq	zaqq	hahq
aurato, auyrato	autrato	xurato	auprato	aurqto	turato
illogical, illogincal	illogicalm
palatna, palatnal
ajadi, ajaedi	ajiadi	apadi	ajadu	hjadi	ajadiw	ajaki
lagani, lagaoni	ljagani	lagaki	larani
ishant, ismhant	ishanht
chahtey, chahtuy	chahtewy	chahtrey	chahdey	chahkey	chavtey	chehtey	cihahtey	chahteu
ropaganda, ropagandb	ropazanda	ropaganad	ropaganyda
properties, propterties	properteies	propertieso	rpoperties	propertiies	zroperties
ahila, ahija	avila	ahilva	ahela
yeda, yedb	myeda	yueda	jyeda	yedj	oyeda	yoda	yewda
oops, bops	oosps	obps	oopsv	ooips	uops	moops	orps
scary, scaryl	scsary	scbry	scaxy
unafiq, untafiq	unauiq	uqnafiq	ulnafiq
dijo, aijo	dijzo	dgijo	dvijo
viva, lviva
arsi, grsi	akrsi	abrsi	anrsi	arsji
aarakshan, aarmkshan	aarakmshan	aarakswan	aaraksfhan	aarpakshan	aarakshun	aaragshan	aarakshqn
mortal, morthal	mootal	mortql
ehmi, ehji	ehrmi	eyhmi	ebhmi	ehms	ehvmi	ekmi	ehimi	mhmi
hawateen, hwawateen	hatwateen	ahwateen	hawteen	shawateen	qhawateen
perta, perjta	hperta	pertea	perxa	pfrta	pecrta	pewta	pevrta	perba
buna, bcna	bunz	dbuna	burna	buva	zbuna	bunya
umen, umzen	umlen	umjn
buscar, busacar	guscar	busacr	buschr	buscard	bdscar	buscafr	fbuscar	bwscar	buscad
pensei, penseu	vpensei	pejsei	pensea	penseih	penseik	pensepi
keluarga, kdluarga	keluatga	keluawrga	kvluarga	keluxrga
lams, lamsy	plams	lamsz	lamz	laoms	lyms	lamsp	lahs	lanms
salir, sasir	salia	saleir	saliry	aalir	salire	smalir	sdalir	saoir
shua, shuap	shwa	bhua	sqhua	shla	shcua	yshua	shuaf	uhua	shuj
toliye, tobliye	tolihe
gunahi, guoahi	gunahei	pgunahi	gfnahi	gunavi	gulnahi	gundhi
worn, hworn	wgrn	wkrn
luqmah, lkqmah	buqmah	luimah	luqtmah	luqmoh
chanti, chaenti	fchanti	cfhanti	chantip	chantif	chanzti	chantti	mhanti
aayyowa, aayxowa	aalyowa	aaayyowa
sogra, segra	shogra	sodgra	sogtra	sogral	sogwa	msogra	sogre
brenda, hrenda	bcenda	brmnda	brendka	brvnda	brendda	renda
brnt, brn
gophan, gpophan
paynchon, mpaynchon	upaynchon	paxynchon	payknchon	paypchon	paylnchon
cassandra, casgsandra	ciassandra	caessandra	caseandra	cascsandra	cassanzdra	cdssandra	cassvndra	cassandvra	caqssandra
teeshy, teeahy	theeshy	gteeshy	teehy	teeshv	yteeshy	neeshy	teeashy
mollys, mlollys	mollyg	mollkys	mollfys
marchdale, mazrchdale	margchdale	hmarchdale	marchpale	bmarchdale	carchdale	marchdalek
charity, charituy	charbty	cuharity	chaqity	chakrity	charily	chawity
cp, cpg	cpm	cpq	cpp
topo, tomo	tfpo	totpo	topoo	tospo	topuo
krda, krcda	krdj	tkrda	krea	krida	kvrda	krad	krdal	krgda
feroz, gferoz	fezoz	fleroz	fieroz
mpa, mpq	mpz	mpga	mqa	mpo	mpk	mpqa
inspire, inspir	inhpire	ainspire	vinspire	dinspire	inseire
hilanay, hilatnay	hilanaf	hisanay	hilcanay	hilanaky	hplanay	hilanqy	hilandy	hilqnay	hilanaey
keun, kevun	kdun	lkeun	keuxn	kgun
oud, ouda	oyd	ouwd	poud	pud	cud
sojao, sjoao	sojaio	sojmao
lik, likr	lijk	ylik	limk	lipk	lgik	lij	lixk	jlik
chabi, chaki	cehabi
basnay, sbasnay	basnqy	basnaym
aligzindr, aligzinsdr	ahigzindr	alaigzindr	aligzsindr	aligdindr	aaligzindr	aligbindr
imtinai, imminai
qabuliat, qaobuliat	qabuliaxt	qrabuliat
nanhay, nnnhay	nanhayo	nanhayg	nanhuy
naslen, naslena
awezan, tawezan	uawezan	amezan
ishu, iwhu	ishuy	isru	ushu	ikhu	ihhu
chodi, khodi	chodwi	chodq	chodai
hehbaaz, hehbaacz	hehbaae	hehbauaz	hehbaazv	hehbxaaz	hehbaez	hkehbaaz
baised, baisud	baibed	baisedq	baistd	abised
sacche, siacche	asacche	saccphe	saccbhe	dacche	jsacche	satcche	sacpche	saiche
pith, tith	cpith	picth	pithk	pitfh	qith	pixh	pihh	pibth	pwth
pedaish, pedaisho	pedsish	pedaixh	pedansh	pedacish	peqdaish	pedaise	pedaiah
yug, ycug	yfug	yucg	yugy	gyug	nug	yuog
disagree, drisagree	disarree	dwisagree	disugree
dc, dcf	edc	hdc
bby, bly	dbby	bsy	bbm	bbuy	bbyg
automatically, automathically	automatikcally	automatlically
rry, rbry	rary	rryb
kamna, kamea	kamona	zamna	kjamna	kamia	kcmna
babies, babiezs	baries	babirs	cbabies	yabies
haatha, hzaatha	hafatha	haotha	hataha	haathap	hamatha	haatea
ias, ius	yias	iav	iqs	iaus
araye, nraye
pand, pandn	panu	panjd	panad	lpand	paand	pandg
suvar, sdvar	suvarv	suvaar	sular	tuvar	shuvar	suvaro	suvak	suvag	suvpr
lk, lck
ethi, uethi	echi	etuhi	etui	etpi	eths	esthi	ethbi	qthi	eehi
oniya, onioya	oniyda	onya	gniya	onita
uality, unality	ualitc	cality	ualiwty	ualityu
reforms, vreforms	repforms	refhrms
egular, eguglar	elular	igular	ebular	egulajr	eguoar	etgular	egulam	egularo	egtular
hekhar, ehekhar	heksar	hekhayr	hekohar	hekharf
baste, basae	uaste	baaste	bastn	bayste
khoobiyan, khoobiyzan
arop, arops	acop	araop
sol, svol	sopl	solc	suol	sodl	sel	sols	sbl	socl	wol
grupo, grupa	grupoi	grupdo	grueo	grupbo	grupro	grupqo
jackie, jacgie	jacvkie	rjackie	uackie	jackxe	pjackie	jackhie	jackip	jalkie	tjackie
akanya, ukanya	akacya	akanyj	akauya	akatya	akanda	aeanya	akankya	akanqya
kaithi, kaisthi	kaithd	kaiehi	kaidthi	kiathi	kaithic	kaithix	kgithi
lawan, lalan	labwan	lawap	lajwan	lawat	lawaan	lawanu	dawan	lawain
bharkana, aharkana	bharmana	bharkaua	bharkang	bzarkana	bharakna	bharkanga	bbharkana	bhcarkana	bharknaa
sanchay, sxanchay
itmam, kitmam	itoam	ikmam	itmaq	ttmam	itmazm	eitmam	itmap	itmar	itmajm
pandemia, pandemta	pandemiwa	pandeeia	pandefmia	pandembia
orrente, otrrente	orreante	orrentes	iorrente	qorrente	orrkente	ojrrente	orrentye
vallin, bvallin	vsallin	valcin
bastian, bastiwan	bastxan	tastian	bastianq	bastixn	bpstian	bastiay	dastian	bastiapn	basvian
schliemann, schliemannz	schliexmann	schliemahn	cchliemann	schlfiemann	pchliemann	schliemaann
gaudreaux, gaudraeaux	gaudreauxi	gaudreaax	gpaudreaux	haudreaux
ametheta, ametheza	amestheta	amethea	ameaheta	amewtheta	amethetia
baraat, naraat	bamaat	baraar	bjraat	baraax	bafaat	baraant
mabood, mjbood	mabooyd	mapbood	maboodc	mxbood
dengy, deqngy	dengcy	rengy	denhgy	deongy	denegy	degy
